,batch_size,conv,dense,drop,epochs,learning_rate,run_id,runtime_hours,training_loss,validation_loss
168,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.3,4,0.01,4168,0.0695814588889,0.691908159426,0.689862356867
169,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.3,4,0.01,4169,0.0200172355556,0.692922967672,0.692734997613
170,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.3,4,0.02,4170,0.0295616008333,0.69291521396,0.691982712064
171,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.3,4,0.02,4171,0.0184948388889,0.693141024453,0.692041437966
172,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.3,4,0.02,4172,3.7462792975,0.693499301161,0.693612970625
173,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.3,4,0.02,4173,0.0671870486111,0.688102443729,0.685983133316
174,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.3,4,0.02,4174,0.0233667008333,0.693645689317,0.693284419605
175,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.3,4,0.05,4175,0.0336769947222,0.693151369265,0.693784976006
176,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.3,4,0.05,4176,0.0239082927778,0.693678792034,0.692230670793
177,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.3,4,0.05,4177,0.0959853622222,0.693884200709,0.693211919921
178,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.3,4,0.05,4178,0.0669415627778,0.693398786443,0.692195282664
179,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.3,4,0.05,4179,0.0198210644444,0.694569184099,0.693046767371
180,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.4,4,0.005,4180,0.0286699488889,0.69295824085,0.693050416878
181,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.4,4,0.005,4181,0.0187787294444,0.693003914186,0.692954398905
182,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.4,4,0.005,4182,1.03057863722,0.693173331022,0.693234823431
183,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.4,4,0.005,4183,1.1054368425,0.693103186573,0.693245232105
184,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.4,4,0.005,4184,0.0496586872222,0.693035621302,0.692755195073
185,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.4,4,0.01,4185,0.0966775877778,0.693012800387,0.69330227375
186,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.4,4,0.01,4186,0.0513586658333,0.693104505539,0.692767732484
187,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.4,4,0.01,4187,0.228254040278,0.693276650565,0.693226168837
188,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.4,4,0.01,4188,0.0630510180556,0.692896633489,0.691936375414
189,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.4,4,0.01,4189,0.0198235072222,0.692352684055,0.692976423672
190,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.4,4,0.02,4190,0.0292972872222,0.693046470199,0.692778173515
191,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.4,4,0.02,4191,1.01835130139,0.692925689902,0.693324734483
